Instance ID,camera present?,"statistical, non-smoothed camera detected?","statistical, smoothed camera detected?","ML, non-smoothed peaks detected? ","ML, smoothed peaks detcted?",
o8i2KKqL8MSyW4edkEjXQE,1,1,1,1,0,
bFx3rRLCz3TxRctQc9FRcF,1,1,1,1,1,
RFV7APqQwcmnM7Wt4YtA2n,1,1,1,1,1,
hcBhf6fpeiqyqnyTKpomW5,1,1,1,1,1,
MQ3ptztoDrzXoexiFCbiiF,1,1,1,1,1,
EdVJFEmd8BdjBaAaB5z6HC,1,1,1,1,1,
ekZSPwYuTmx8nfG8v8emfA,1,1,1,1,1,
TTpNa6RPXETz39n2vKdwY2,1,1,1,1,1,
3v2d2NG6dUibUuighcHEED,1,1,1,1,1,
3rVW29hLKekAwkkivNY5G5,1,1,1,1,1,
azzZCv9eL9TAW7P8uv8Y8B,1,1,1,1,1,
n86FQTnAAdvabZ9sv8EfeC,1,1,1,1,0,
kTNR8GgR8CNDx2k95DZUEW,1,1,1,1,1,
BKqorYNxWdWRsCqeP8hJEz,1,1,1,1,0,
F9GedZ7ftk5Ufp3jH9V57U,1,1,1,1,1,
WsxbjuHzM4YuZmigjei4As,1,1,1,1,1,
gKDWcQKcS6kidZB8vXAomb,1,1,1,1,0,
cPYuTyUp45GR9dDGLuQ6dY,1,1,1,1,0,
6D7eDQCi6V8CBAa8hJR8Z8,1,1,1,1,1,
DTTdyktoMZhLXrdkUERs7V,1,1,1,0,,
DTUEGaUAiQkeizVZoRmJJy,1,0,0,0,0,
3BZ8zzQuUFZQAFkVJ9xNHS,1,0,0,0,0,
dRwAAh4oHTTWxcfbGUzwG6,1,0,0,1,0,
axButPfjRzFUfEYPGe2Tgg,1,0,0,0,0,
RbvfiMKb59HQtfVicrkjfi,1,0,1,0,1,
WLWJyQwjKzHcxutsQG5iQ8,1,1,1,1,1,
68mDghff6C8KzvRJNoMYZm,1,1,1,1,0,
TNGh2jMzJ4J98xrSQMEyub,1,0,1,0,0,
Sc5To7Pa9qDZfFfqpLgMmT,1,0,1,0,0,
E4oxAfCEK6Eptr4qEvdTWB,1,0,1,0,0,
GNY4zASCpBY7oNSMBd2pBe,1,1,1,0,0,
E7S4onXZdiRKSuKimdeRkj,1,1,1,1,1,
k9TW9vZG4dh7oZsEQC85HF,1,0,1,0,1,
Fd9oXjA9gzMb92TGW6X4Vg,1,0,1,0,1,
LQ9Adja4qSooM9Ltmof9WA,1,0,1,0,1,
CTFCmofM3YpYaM62XW4pfZ,1,1,1,1,1,
Qc4sAWjQC4P6jAhzvCBZ2W,1,1,1,1,0,
4HafPJ4jq92Sp6Vaemc6Wa,1,0,1,0,1,
o87VEqAVAowTwfQDwVDNQj,1,1,1,0,1,
F9tHHvZ87TMQRt3sXwqm5r,1,1,1,1,1,
CshFoDr7MgMAKAjGaGrYdk,1,1,1,1,1,
XJBpN4BJHp8rAwYtjqaUaQ,1,0,1,0,1,1
,,,,,,
SUM: ,42,29,38,27,26,
,,,,,,
,True Positive!,0.6904761905,0.9047619048,0.6428571429,0.619047619,
,False Negative,0.3095238095,0.09523809524,0.3571428571,0.380952381,
